,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country
87,Qaanaaq,77.48,-69.36,6.08,64,50,1.71,6.08,GL
88,Sur,22.57,59.53,29.19,80,1,1.55,29.19,OM
89,Acaraú,-2.89,-40.12,25.3,82,50,5.53,25.3,BR
90,Kaitangata,-46.28,169.85,3.89,79,5,1.79,3.89,NZ
91,Ust-Tsilma,65.44,52.15,12.18,90,86,3.13,12.18,RU
92,Tabas,33.6,56.92,33.0,16,46,1.0,33.0,IR
93,Los Llanos de Aridane,28.66,-17.92,20.16,69,90,8.7,23.0,ES
94,Tautira,-17.73,-149.15,29.0,70,40,8.7,29.0,PF
95,Chokurdakh,70.63,147.92,4.57,77,100,7.95,4.57,RU
96,Flinders,-34.58,150.86,13.24,67,0,5.36,13.89,AU
97,Atuona,-9.8,-139.03,27.11,77,13,11.73,27.11,PF
98,Bluff,-46.6,168.33,3.89,83,29,1.34,3.89,NZ
99,Pauini,-7.71,-66.98,25.21,78,64,0.08,25.21,BR
100,Pahrump,36.21,-115.98,36.28,10,0,3.58,37.22,US
101,Skibbereen,51.55,-9.27,12.0,81,75,5.1,12.0,IE
102,Grand Gaube,-20.01,57.66,21.11,74,14,4.02,21.11,MU
103,Udachny,66.42,112.4,11.0,71,90,5.0,11.0,RU
104,Ron,15.67,75.73,23.03,88,100,6.0,23.03,IN
105,Longyearbyen,78.22,15.64,7.0,70,40,5.7,7.0,SJ
106,Itaqui,-29.13,-56.55,6.44,81,52,1.02,6.44,BR
107,Carnarvon,-24.87,113.63,16.0,55,0,4.6,16.0,AU
108,Jamestown,42.1,-79.24,26.3,54,1,4.6,27.0,US
109,Nome,64.5,-165.41,8.88,93,90,4.1,9.44,US
110,Mount Gambier,-37.83,140.77,9.0,100,75,7.7,9.0,AU
111,Boa Vista,2.82,-60.67,31.0,55,20,2.6,31.0,BR
112,Waipawa,-41.41,175.52,9.39,76,79,2.1,10.0,NZ
113,Uspenka,48.39,39.16,19.52,84,0,1.91,19.52,UA
114,De-Kastri,51.47,140.78,19.22,50,32,3.28,19.22,RU
115,Rocha,-34.48,-54.33,4.97,87,40,3.09,4.97,UY
116,Belmonte,-15.86,-38.88,23.0,88,49,2.1,23.0,BR
117,Alice Springs,-23.7,133.88,11.06,62,50,2.6,11.11,AU
118,Teguise,29.06,-13.56,22.0,83,20,9.3,22.0,ES
119,Cabo San Lucas,22.89,-109.91,28.86,69,40,2.1,29.44,MX
120,Shimoda,34.67,138.95,23.94,73,75,5.1,24.0,JP
121,Yatou,37.15,122.38,21.18,77,99,3.54,21.18,CN
122,Bredasdorp,-34.53,20.04,12.0,87,27,2.6,12.0,ZA
123,Mezen',65.85,44.24,10.92,96,17,1.93,10.92,RU
124,Plettenberg Bay,-34.05,23.37,14.61,75,37,4.25,14.61,ZA
125,Flin Flon,54.77,-101.86,23.0,56,90,2.6,23.0,CA
126,Yulara,-25.24,130.99,10.0,61,49,4.6,10.0,AU
127,Kapit,2.02,112.93,23.36,93,100,1.27,23.36,MY
128,Ancud,-41.87,-73.82,8.43,100,90,3.1,8.89,CL
129,Myrtle Beach,33.69,-78.89,26.76,88,1,3.1,27.22,US
130,Lompoc,34.64,-120.46,18.5,68,17,5.1,20.0,US
131,Soyo,-6.13,12.37,22.13,88,0,3.02,22.13,AO
132,Cedar City,37.68,-113.06,29.0,13,1,10.8,29.0,US
133,Ponta do Sol,32.67,-17.1,18.98,73,40,7.7,22.0,PT
134,Clyde River,70.47,-68.59,11.0,66,20,9.8,11.0,CA
135,Wasilla,61.58,-149.44,21.41,53,40,1.5,22.0,US
136,Hithadhoo,-0.6,73.08,28.96,65,99,1.37,28.96,MV
137,Dauriya,49.93,116.87,23.52,48,65,2.05,23.52,RU
138,East London,-33.02,27.91,17.37,65,2,7.98,17.37,ZA
139,Isangel,-19.55,169.27,24.0,53,75,4.1,24.0,VU
140,Kholtoson,50.3,103.31,18.58,58,9,1.02,18.58,RU
141,Tasiilaq,65.61,-37.64,10.0,61,0,2.6,10.0,GL
142,Coolum Beach,-26.53,153.1,19.47,67,5,0.89,21.67,AU
143,Podyuga,61.09,40.86,10.83,95,14,1.52,10.83,RU
144,Sola,-13.88,167.55,25.62,80,66,11.39,25.62,VU
145,Barrow,71.29,-156.79,8.0,70,1,7.2,8.0,US
146,Pevek,69.7,170.31,5.66,85,100,5.66,5.66,RU
147,Svobodnyy,51.4,128.13,21.44,76,66,5.48,21.44,RU
148,Belaya Gora,68.53,146.42,6.34,85,100,6.15,6.34,RU
149,Bengkulu,-3.8,102.27,25.48,80,100,0.92,25.48,ID
150,Kupang,-10.17,123.58,26.0,69,20,3.6,26.0,ID
151,Chimoio,-19.12,33.48,12.88,93,20,2.6,13.0,MZ
152,Eston,51.15,-108.75,22.19,49,40,10.8,23.33,CA
153,Sarakhs,36.54,61.16,24.0,27,29,2.1,24.0,IR
154,Bubaque,11.28,-15.83,26.88,83,100,4.42,26.88,GW
155,Rosarito,32.33,-117.03,22.85,56,1,3.1,23.33,MX
156,Narsaq,60.92,-46.05,12.0,54,100,1.5,12.0,GL
157,Cherskiy,68.75,161.3,5.69,91,100,0.12,5.69,RU
158,Lima,-12.04,-77.03,16.0,77,90,4.6,16.0,PE
159,Zhangaözen,43.3,52.8,23.04,20,57,5.25,23.04,KZ
160,Tawao,4.25,117.89,25.0,94,20,2.08,25.0,MY
161,Laguna,38.42,-121.42,30.37,22,1,5.1,31.11,US
162,Goundam,16.41,-3.67,35.6,22,7,3.95,35.6,ML
163,Hofn,64.25,-15.21,7.7,75,52,1.67,7.7,IS
164,Constitución,-35.33,-72.42,10.12,81,72,2.48,10.12,CL
165,Ratne,51.67,24.53,17.56,90,100,0.79,17.56,UA
